,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
0,0,3651110,/course/microsoft-azure-from-zero-to-hero-the-complete-guide/,Microsoft Azure: From Zero to Hero - The Complete Guide,2020-11-21,58832,True,84.99,4.587387,7927,20.5
1,1,2394982,/course/az900-azure/,AZ-900: Microsoft Azure Fundamentals Exam Prep 2023,2019-06-02,315444,True,49.99,4.5484037,76602,6.0
2,2,1704776,/course/microsoft-azure-beginners-guide/,Microsoft Azure - Beginner's Guide + AZ-900 -  2022,2018-05-20,201937,True,84.99,4.5314865,50600,14.5
3,3,4049392,/course/azure-certification-az-900-azure-fundamentals/,AZ-900 Microsoft Azure Fundamentals in a Weekend,2021-05-14,86408,True,19.99,4.5827546,20564,8.5
4,4,2131244,/course/microsoft-certified-azure-administrator/,AZ-104 Microsoft Azure Administrator Certification 2023,2019-01-06,85902,True,99.99,4.565885,17459,26.0
5,5,2089742,/course/az-900-azure-exam-prep-understanding-cloud-concepts/,AZ-900 Bootcamp: Microsoft Azure Fundamentals (FEB 2023),2018-12-16,91347,True,19.99,4.5087066,24255,8.5
6,6,4553396,/course/cloudgita-azure-fundamental/,AZ-900: Microsoft Azure Fundamentals Video Course - OCT 2022,2022-02-16,10637,True,19.99,4.635135,2516,16.5
7,7,802576,/course/70533-azure/,AZ-104 Microsoft Azure Administrator Exam Prep - OCT 2022,2016-03-24,179002,True,39.99,4.554202,35729,14.0
8,8,4603056,/course/azure-tips-tricks/,[NEW] AZ-104: Microsoft Azure Administrator - OCT 2022,2022-03-18,11918,True,19.99,4.6205163,1727,34.0
9,9,2059535,/course/az-102-azure-administrator-certification-transition/,Azure Architect Technologies,2018-11-30,57631,True,129.99,4.609694,10224,27.5
10,10,802574,/course/70532-azure/,AZ-204 Developing Solutions for Microsoft Azure,2016-03-24,117218,True,39.99,4.490817,22040,9.5
11,11,3381074,/course/azure-kubernetes-service-with-azure-devops-and-terraform/,Azure Kubernetes Service with Azure DevOps and Terraform,2020-07-31,26709,True,19.99,4.526119,3332,28.0
12,12,4182538,/course/azure-databricks-spark-core-for-data-engineers/,Azure Databricks & Spark For Data Engineers (PySpark / SQL),2021-07-13,42636,True,34.99,4.6231885,7177,16.0
13,13,4655942,/course/azure-certification-1/,AZ-204: Developing Solutions for Microsoft Azure - NEW,2022-04-23,15384,True,94.99,4.582251,2008,27.0
14,14,2471980,/course/azure-fundamentals-az-900-certification/,Azure Fundamentals: AZ-900 Certification +Practice Questions,2019-07-22,38245,True,24.99,4.464539,10906,7.0
15,15,3685634,/course/learn-azure-data-factory-from-scratch/,Azure Data Factory For Data Engineers - Project on Covid19,2020-12-06,42429,True,34.99,4.6190934,7740,13.0
16,16,4937086,/course/microsoft-azure-data-engineer-exam-practice-sets/,[NEW] Practice Sets | DP-203: Azure Data Engineer Exam 2023,2022-10-20,664,True,54.99,4.68,81,240.0
17,17,4714122,/course/terraform-on-azure-services/,Terraform on Azure,2022-06-01,6716,True,84.99,4.6532736,762,18.0
18,18,2406648,/course/az-900-azurefundamentals/,Microsoft AZ-900 Certification: Azure Fundamentals,2019-06-10,25823,True,29.99,4.4389586,7007,5.0
19,19,2514204,/course/az900-azure-tests/,AZ-900: Microsoft Azure Fundamentals Original Practice Tests,2019-08-17,116220,True,29.99,4.529974,24026,300.0
20,20,4285156,/course/azure-exam-700/,AZ-700:Designing and Implementing Azure Networking Solutions,2021-09-07,11880,True,84.99,4.621069,1572,18.5
21,21,3377424,/course/dp200exam/,DP-203: Data Engineering on Microsoft Azure + Practice Tests,2020-07-29,29472,True,24.99,4.514151,6755,24.5
22,22,4160316,/course/data-engineering-on-microsoft-azure/,DP-203 - Data Engineering on Microsoft Azure 2021,2021-07-02,40946,True,94.99,4.539387,6081,23.5
23,23,2377792,/course/azure-devops-for-project-managers-analyst/,Azure DevOps Boards for Project Managers/Analyst/Developers,2019-05-21,41026,True,19.99,4.492963,13985,1.5
24,24,2813427,/course/devops-with-docker-kubernetes-and-azure-devops/,"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps",2020-02-14,106245,True,19.99,4.50803,9811,21.5
25,25,2741358,/course/exam-az-microsoft-azure-exam-role1/,Exam AZ-305 - Designing Azure Infrastructure Solutions 2022,2020-01-06,41442,True,99.99,4.5466104,5456,17.5
26,26,2591908,/course/azure-devops-for-beginners/,Azure DevOps Fundamentals for Beginners,2019-10-04,90486,True,109.99,4.503175,25216,3.5
27,27,802578,/course/70534-azure/,AZ-303 Azure Architecture Technologies Exam Prep,2016-03-24,134132,True,69.99,4.4333334,26913,12.5
28,28,1088256,/course/machine-learning-using-azureml/,DP-100: A-Z Machine Learning using Azure Machine Learning,2017-01-24,38117,True,99.99,4.4512987,6119,26.5
29,29,2782102,/course/exam-azure-2/,AZ-500 Microsoft Azure Security Exam Certification 2022,2020-01-27,38700,True,99.99,4.4925213,6337,20.5
30,30,4241488,/course/dp-900-azure-data-fundamentals-certification/,DP-900: Microsoft Azure Data Fundamentals in a Weekend,2021-08-14,16259,True,19.99,4.608087,3206,7.0
31,31,3279690,/course/dp900-azure/,DP-900 Azure Data Fundamentals Exam Prep In One Day,2020-06-29,41633,True,29.99,4.4737487,8124,4.0
32,32,4914640,/course/azure-ad-and-azure-ad-b2c-for-developers-and-architects/,Azure AD and Azure AD B2C For Developers and Architects,2022-10-05,289,True,84.99,4.4333334,15,12.0
33,33,4999638,/course/az-900-azure-fundamentals-exam-prep-october-2022/,AZ-900: Azure Fundamentals Exam Prep FEBRUARY 2023,2022-11-28,309,True,84.99,4.681818,23,8.0
34,34,3644002,/course/azure-dp-900/,DP-900: Microsoft Azure Data Fundamentals Course - Aug 2022,2020-11-18,14231,True,19.99,4.6623616,3774,11.0
35,35,4709442,/course/azure-synapse-analytics-for-data-engineers/,Azure Synapse Analytics For Data Engineers -Hands On Project,2022-05-29,8711,True,34.99,4.71934,1092,13.5
36,36,4574150,/course/azure-powershell/,Mastering Azure PowerShell,2022-02-28,4668,True,84.99,4.6875,299,20.0
37,37,2200368,/course/azure-active-directory-and-azure-active-directory-domain-services/,Azure Active Directory And Azure AD Domain Services,2019-02-06,13043,True,29.99,4.4257812,3742,4.0
38,38,2581472,/course/azure-administrator-az-103/,Azure Administrator: AZ-104 (Updated December 2022),2019-09-28,10529,True,24.99,4.5460253,2090,16.5
39,39,4181724,/course/dp-300-administering-relational-databases-azure-dba/,DP-300: Administering Microsoft Azure SQL Solutions (DBA),2021-07-13,7360,True,84.99,4.601896,1118,17.5
40,40,3140524,/course/microsoft-azure-az-900-practice-tests-latest-2020/,AZ-900 : Microsoft Azure Fundamentals Practice Tests 2023,2020-05-18,32922,True,19.99,4.498172,3053,330.0
41,41,2311352,/course/microsoft-az-301-certification-azure-architect-design/,AZ-305 : Azure Architect Design Certification Prep,2019-04-07,24762,True,79.99,4.505917,3382,22.5
42,42,3314246,/course/azure-training/,Real time Full Azure training for System Administrators,2020-07-09,5693,True,19.99,4.4,471,66.5
43,43,4949174,/course/designing-microsoft-azure-infrastructure-solutions/,[NEW] AZ-305: Designing Azure Infrastructure Solutions 2023,2022-10-27,394,True,49.99,4.78,34,335.0
44,44,2873370,/course/exam-az-104-microsoft-azure-administrator/,AZ-104: Microsoft Azure Administrator -  Full Course,2020-03-15,40081,True,34.99,4.448936,3645,18.0
45,45,4084634,/course/azure-active-directory-masterclass/,Azure Active Directory Masterclass,2021-05-28,3589,True,19.99,4.629758,605,7.0
46,46,1483912,/course/azure-function-logic-app-and-blob-for-dot-net-developer/,"Azure Function, Logic Apps & Blob Storage for .NET Developer",2017-12-27,7697,True,84.99,4.529762,1235,6.5
47,47,4912650,/course/az-104-microsoft-azure-administrator-course-with-simulations/,AZ-104 Microsoft Azure Administrator course with SIMULATIONS,2022-10-04,906,True,34.99,4.6887755,113,15.0
48,48,3373262,/course/az-900-microsoft-azure-fundamentals-exam-preparation/,AZ-900: Microsoft Azure Fundamentals (October 2022 version),2020-07-28,3225,True,84.99,4.548193,525,7.0
49,49,4197198,/course/az700-azure/,AZ-700 Designing and Implementing Azure Networking Exam,2021-07-21,8003,True,79.99,4.5430465,1107,5.5
50,50,1930340,/course/becoming-a-cloud-expert-microsoft-azure-iaas-level-1/,Becoming a Cloud Expert - Microsoft Azure IaaS - Level 1,2018-09-24,12443,True,99.99,4.615942,707,5.0
51,51,3552010,/course/the-ultimate-azure-api-management-course/,The Ultimate Azure API Management Course,2020-10-07,5414,True,49.99,4.3519735,1037,2.5
52,52,3325258,/course/azure-architect-technologies-az-303/,AZ-305: Azure Solutions Architect Expert (updated Jan 2023),2020-07-12,7764,True,24.99,4.5392156,981,19.0
53,53,3058372,/course/sc-300-exam-prep-microsoft-identity-and-access-administrator/,Azure Active Directory: An Introduction to Azure AD,2020-04-27,7996,True,19.99,4.436658,1261,4.0
54,54,2634964,/course/azure-basics/,Learning Microsoft Azure -A Hands-On Training [Azure][Cloud],2019-11-01,5065,True,84.99,3.9,171,5.0
55,55,4785378,/course/azure-data-factory-masterclass-from-zero-to-hero/,Azure Data Factory : from Zero to Hero of Azure Data Factory,2022-07-17,963,True,29.99,4.3,202,11.0
56,56,2420912,/course/az-900-microsoft-azure-fundamentals-certification/,AZ-900: Microsoft Azure Fundamentals Certification - 2022,2019-06-19,13352,True,34.99,4.428571,2248,9.5
57,57,3824326,/course/ai900-azure/,AI-900 Azure AI Fundamentals Exam Prep In One Day,2021-02-04,14256,True,49.99,4.5125346,3023,2.5
58,58,3648076,/course/cloud-security-with-microsoft-azure-for-beginners/,Azure Cloud Security with Microsoft Azure For Beginners,2020-11-20,639,True,84.99,4.571429,99,4.5
