price,enrollment,rating,num_ratings
19.99,125,5.0,15
19.99,612,5.0,13
84.99,"1,065",5.0,13
24.99,40,5.0,11
19.99,36,5.0,7
19.99,37,5.0,7
84.99,23,5.0,7
19.99,63,5.0,6
19.99,36,5.0,6
29.99,19,5.0,6
19.99,473,5.0,6
84.99,30,5.0,5
84.99,"2,462",5.0,5
54.99,64,5.0,5
19.99,122,5.0,5
19.99,41,5.0,5
19.99,922,5.0,3
39.99,26,5.0,3
54.99,26,5.0,3
19.99,264,5.0,3
49.99,5,5.0,3
59.99,18,5.0,3
19.99,4,5.0,3
19.99,20,5.0,2
19.99,6,5.0,2
19.99,5,5.0,2
49.99,9,5.0,2
84.99,8,5.0,2
19.99,"2,381",5.0,2
19.99,4,5.0,2
84.99,40,5.0,2
19.99,44,5.0,2
19.99,"1,808",5.0,2
19.99,4,5.0,2
19.99,"1,006",5.0,2
19.99,203,5.0,2
19.99,"1,006",5.0,2
64.99,22,5.0,2
19.99,101,5.0,1
19.99,37,5.0,1
84.99,"1,015",5.0,1
19.99,233,5.0,1
84.99,"1,101",5.0,1
19.99,193,5.0,1
19.99,"2,066",5.0,1
24.99,16,5.0,1
19.99,12,5.0,1
19.99,"3,023",5.0,1
39.99,60,5.0,1
19.99,1,5.0,1
54.99,21,5.0,1
24.99,5,5.0,1
19.99,6,5.0,1
84.99,"1,004",5.0,1
39.99,12,5.0,1
19.99,7,5.0,1
19.99,"1,012",5.0,1
19.99,21,5.0,1
49.99,3,5.0,1
19.99,5,5.0,1
19.99,7,5.0,1
19.99,40,5.0,1
84.99,6,5.0,1
19.99,19,5.0,1
24.99,5,5.0,1
109.99,"11,563",4.9,"1,973"
39.99,"3,167",4.9,317
19.99,"1,054",4.9,22
49.99,279,4.7,20
84.99,90,4.9,17
24.99,"2,057",4.9,12
64.99,90,4.9,9
84.99,56,4.9,8
19.99,"3,014",4.9,6
19.99,50,4.9,5
19.99,5,4.9,4
39.99,40,4.9,4
49.99,"1,023",4.9,4
19.99,11,4.9,3
19.99,11,4.9,3
19.99,191,4.9,3
19.99,"2,333",4.8,286
84.99,"28,213",4.8,259
19.99,"1,444",4.8,144
84.99,"3,487",4.8,93
39.99,650,4.8,89
19.99,432,4.8,57
19.99,"3,130",4.8,53
19.99,129,4.8,51
19.99,"2,991",4.8,46
19.99,200,4.8,45
49.99,"20,540",4.8,43
24.99,251,4.8,41
19.99,"2,228",4.8,41
19.99,"1,907",4.8,30
84.99,172,4.8,24
19.99,"2,412",4.8,20
19.99,"2,615",4.8,19
84.99,245,4.7,17
19.99,"2,383",4.8,15
19.99,79,4.8,15
19.99,205,4.8,14
19.99,"3,867",4.8,7
84.99,93,4.8,5
19.99,15,4.8,5
24.99,32,4.8,5
19.99,46,4.8,5
19.99,52,4.8,4
19.99,262,4.8,3
19.99,33,4.8,2
39.99,5,4.8,2
19.99,"14,157",4.7,"3,756"
79.99,"19,912",4.7,"3,412"
19.99,"36,478",4.7,"2,285"
24.99,"7,387",4.7,"1,287"
89.99,"6,735",4.7,"1,150"
24.99,"4,318",4.7,"1,130"
34.99,"8,512",4.7,"1,056"
19.99,"9,116",4.6,"1,047"
19.99,"11,307",4.6,"1,037"
19.99,"11,210",4.6,866
84.99,"6,542",4.7,740
99.99,"12,425",4.7,705
129.99,"7,207",4.7,397
44.99,837,4.6,324
19.99,"4,425",4.7,300
84.99,"4,607",4.7,294
84.99,"4,795",4.7,236
19.99,967,4.7,203
19.99,"13,261",4.7,199
39.99,988,4.7,178
84.99,"1,079",4.7,162
19.99,"4,872",4.7,133
