Category: All categories

Week,AWS Certifications: (United States),Google Cloud Certifications: (United States),Microsoft Azure Certifications: (United States)
2018-02-18,51,8,0
2018-02-25,32,19,0
2018-03-04,36,0,0
2018-03-11,19,14,9
2018-03-18,48,0,0
2018-03-25,0,0,9
2018-04-01,23,8,0
2018-04-08,33,0,11
2018-04-15,11,14,10
2018-04-22,31,0,0
2018-04-29,30,0,0
2018-05-06,29,0,0
2018-05-13,40,0,41
2018-05-20,46,0,0
2018-05-27,33,0,0
2018-06-03,34,10,13
2018-06-10,13,32,0
2018-06-17,43,0,0
2018-06-24,45,0,0
2018-07-01,25,11,0
2018-07-08,49,0,0
2018-07-15,79,14,0
2018-07-22,0,19,0
2018-07-29,28,0,21
2018-08-05,19,0,12
2018-08-12,30,0,16
2018-08-19,64,0,0
2018-08-26,30,0,54
2018-09-02,35,0,0
2018-09-09,43,0,12
2018-09-16,0,0,9
2018-09-23,58,0,0
2018-09-30,40,0,0
2018-10-07,41,0,0
2018-10-14,41,0,14
2018-10-21,31,0,55
2018-10-28,41,21,0
2018-11-04,39,23,9
2018-11-11,52,0,0
2018-11-18,25,0,11
2018-11-25,47,0,0
2018-12-02,38,9,8
2018-12-09,39,0,0
2018-12-16,49,19,0
2018-12-23,25,0,0
2018-12-30,58,0,8
2019-01-06,42,15,0
2019-01-13,41,0,0
2019-01-20,38,0,0
2019-01-27,37,0,0
2019-02-03,50,0,0
2019-02-10,52,0,17
2019-02-17,40,0,24
2019-02-24,50,0,15
2019-03-03,62,16,15
2019-03-10,32,15,30
2019-03-17,32,0,0
2019-03-24,26,11,13
2019-03-31,25,0,0
2019-04-07,40,0,0
2019-04-14,30,0,13
2019-04-21,44,0,0
2019-04-28,22,8,0
2019-05-05,40,0,0
2019-05-12,73,10,0
2019-05-19,72,9,0
2019-05-26,34,16,0
2019-06-02,56,15,0
2019-06-09,51,0,0
2019-06-16,13,0,12
2019-06-23,45,10,0
2019-06-30,26,0,0
2019-07-07,39,0,0
2019-07-14,59,12,0
2019-07-21,40,0,0
2019-07-28,37,0,0
2019-08-04,14,0,16
2019-08-11,41,0,14
2019-08-18,55,0,0
2019-08-25,36,0,0
2019-09-01,45,16,0
2019-09-08,39,11,14
2019-09-15,45,13,19
2019-09-22,47,16,19
2019-09-29,28,0,0
2019-10-06,45,0,13
2019-10-13,23,0,19
2019-10-20,18,0,0
2019-10-27,44,0,0
2019-11-03,50,0,29
2019-11-10,53,18,40
2019-11-17,51,0,0
2019-11-24,20,10,0
2019-12-01,46,7,0
2019-12-08,35,0,0
2019-12-15,43,0,0
2019-12-22,40,0,13
2019-12-29,40,19,9
2020-01-05,37,0,0
2020-01-12,36,7,7
2020-01-19,37,9,0
2020-01-26,49,0,0
2020-02-02,63,0,0
2020-02-09,59,0,0
2020-02-16,37,11,13
2020-02-23,38,0,9
2020-03-01,61,14,0
2020-03-08,55,0,9
2020-03-15,41,13,0
2020-03-22,51,0,15
2020-03-29,48,25,0
2020-04-05,57,13,15
2020-04-12,37,0,12
2020-04-19,35,0,0
2020-04-26,37,0,8
2020-05-03,56,0,16
2020-05-10,60,0,21
2020-05-17,42,12,22
2020-05-24,50,6,0
2020-05-31,21,0,21
2020-06-07,63,0,0
2020-06-14,14,0,39
2020-06-21,62,0,0
2020-06-28,45,0,0
2020-07-05,42,7,0
2020-07-12,54,0,0
2020-07-19,44,21,8
2020-07-26,78,50,0
2020-08-02,97,0,0
2020-08-09,48,0,0
2020-08-16,57,9,0
2020-08-23,54,19,0
2020-08-30,51,0,24
2020-09-06,40,0,0
2020-09-13,46,0,11
2020-09-20,56,0,11
2020-09-27,69,12,16
2020-10-04,44,0,17
2020-10-11,26,12,18
2020-10-18,48,0,8
2020-10-25,59,19,0
2020-11-01,31,0,0
2020-11-08,42,0,0
2020-11-15,57,12,0
2020-11-22,43,0,10
2020-11-29,32,0,28
2020-12-06,52,8,0
2020-12-13,64,10,0
2020-12-20,56,0,21
2020-12-27,36,9,0
2021-01-03,68,8,14
2021-01-10,66,29,0
2021-01-17,31,0,0
2021-01-24,63,0,20
2021-01-31,57,0,0
2021-02-07,53,0,24
2021-02-14,39,0,11
2021-02-21,67,10,12
2021-02-28,72,0,0
2021-03-07,24,8,15
2021-03-14,37,0,7
2021-03-21,58,0,0
2021-03-28,47,0,22
2021-04-04,44,36,0
2021-04-11,15,18,0
2021-04-18,34,0,20
2021-04-25,33,19,0
2021-05-02,0,0,10
2021-05-09,39,0,11
2021-05-16,24,0,0
2021-05-23,34,0,9
2021-05-30,44,0,0
2021-06-06,29,0,0
2021-06-13,33,11,11
2021-06-20,55,0,21
2021-06-27,33,0,0
2021-07-04,29,0,13
2021-07-11,58,0,15
2021-07-18,33,0,0
2021-07-25,28,12,0
2021-08-01,30,8,12
2021-08-08,15,9,0
2021-08-15,67,11,0
2021-08-22,78,22,9
2021-08-29,47,0,10
2021-09-05,63,11,0
2021-09-12,24,0,30
2021-09-19,69,0,10
2021-09-26,58,0,9
2021-10-03,24,0,18
2021-10-10,36,9,8
2021-10-17,15,10,16
2021-10-24,33,0,27
2021-10-31,57,0,26
2021-11-07,17,19,12
2021-11-14,43,0,0
2021-11-21,26,12,0
2021-11-28,51,10,0
2021-12-05,46,16,22
2021-12-12,29,0,0
2021-12-19,35,0,0
2021-12-26,55,21,16
2022-01-02,73,0,19
2022-01-09,70,9,11
2022-01-16,44,0,25
2022-01-23,75,29,14
2022-01-30,77,20,16
2022-02-06,42,0,0
2022-02-13,48,0,0
2022-02-20,67,0,20
2022-02-27,53,10,17
2022-03-06,58,11,0
2022-03-13,66,15,0
2022-03-20,81,31,0
2022-03-27,73,21,13
2022-04-03,59,9,0
2022-04-10,58,12,0
2022-04-17,80,7,0
2022-04-24,50,6,17
2022-05-01,62,12,19
2022-05-08,62,0,0
2022-05-15,53,0,0
2022-05-22,50,8,23
2022-05-29,52,34,0
2022-06-05,36,0,0
2022-06-12,85,23,19
2022-06-19,42,25,13
2022-06-26,51,0,0
2022-07-03,57,0,14
2022-07-10,77,27,18
2022-07-17,33,0,0
2022-07-24,83,14,0
2022-07-31,65,9,12
2022-08-07,69,28,19
2022-08-14,63,13,29
2022-08-21,78,13,0
2022-08-28,100,0,19
2022-09-04,53,11,10
2022-09-11,51,0,0
2022-09-18,38,0,17
2022-09-25,47,16,0
2022-10-02,68,25,12
2022-10-09,58,13,0
2022-10-16,50,8,13
2022-10-23,39,8,14
2022-10-30,77,23,0
2022-11-06,56,17,0
2022-11-13,37,0,27
2022-11-20,41,0,13
2022-11-27,53,0,26
2022-12-04,58,7,10
2022-12-11,90,0,11
2022-12-18,50,8,27
2022-12-25,61,0,0
2023-01-01,94,7,8
2023-01-08,84,7,0
2023-01-15,95,25,25
2023-01-22,94,0,15
2023-01-29,53,16,12
2023-02-05,92,0,17
