Week,AWS: (United States),Google Cloud: (United States),Azure: (United States)
2023-02-05,72,10,55
2023-01-29,64,9,54
2023-01-22,63,9,54
2023-01-15,59,9,48
2023-01-08,63,9,47
2023-01-01,52,8,40
2022-12-25,32,6,27
2022-12-18,47,7,36
2022-12-11,62,10,45
2022-12-04,66,9,46
2022-11-27,70,9,43
2022-11-20,43,7,31
2022-11-13,67,10,47
2022-11-06,62,9,41
2022-10-30,66,10,47
2022-10-23,62,10,44
2022-10-16,64,10,48
2022-10-09,65,10,46
2022-10-02,66,10,47
2022-09-25,70,9,45
2022-09-18,66,10,47
2022-09-11,65,10,45
2022-09-04,60,9,42
2022-08-28,66,9,47
2022-08-21,70,10,47
2022-08-14,69,10,47
2022-08-07,65,10,52
2022-07-31,66,9,50
2022-07-24,70,9,49
2022-07-17,68,9,45
2022-07-10,69,9,46
2022-07-03,58,8,38
2022-06-26,65,9,45
2022-06-19,66,9,44
2022-06-12,63,9,46
2022-06-05,65,9,45
2022-05-29,55,9,39
2022-05-22,63,9,40
2022-05-15,64,9,46
2022-05-08,64,10,46
2022-05-01,63,10,47
2022-04-24,63,10,49
2022-04-17,68,10,50
2022-04-10,59,10,45
2022-04-03,64,11,49
2022-03-27,62,10,48
2022-03-20,62,9,51
2022-03-13,60,8,52
2022-03-06,62,9,49
2022-02-27,58,9,51
2022-02-20,59,8,46
2022-02-13,64,9,48
2022-02-06,65,8,50
2022-01-30,55,8,46
2022-01-23,60,8,46
2022-01-16,46,7,37
2022-01-09,48,7,41
2022-01-02,48,7,38
2021-12-26,24,4,25
2021-12-19,38,5,34
2021-12-12,52,5,35
2021-12-05,100,6,35
2021-11-28,48,6,37
2021-11-21,33,5,28
2021-11-14,42,7,39
2021-11-07,40,6,38
2021-10-31,40,6,37
2021-10-24,43,6,39
2021-10-17,41,6,38
2021-10-10,43,6,42
2021-10-03,44,6,37
2021-09-26,43,6,38
2021-09-19,41,6,37
2021-09-12,40,6,39
