Category: All categories

Week,AWS: (United States),Google Cloud: (United States),Azure: (United States)
2018-02-18,32,4,25
2018-02-25,35,4,27
2018-03-04,33,6,23
2018-03-11,32,6,23
2018-03-18,31,3,23
2018-03-25,26,5,27
2018-04-01,36,5,22
2018-04-08,28,5,29
2018-04-15,28,3,27
2018-04-22,29,6,26
2018-04-29,30,5,22
2018-05-06,33,3,28
2018-05-13,31,5,22
2018-05-20,28,4,23
2018-05-27,30,3,23
2018-06-03,30,5,21
2018-06-10,26,1,21
2018-06-17,28,4,17
2018-06-24,29,5,22
2018-07-01,21,2,19
2018-07-08,29,2,27
2018-07-15,31,5,22
2018-07-22,29,9,22
2018-07-29,30,6,23
2018-08-05,29,4,21
2018-08-12,32,4,24
2018-08-19,27,2,24
2018-08-26,29,4,28
2018-09-02,27,4,20
2018-09-09,31,5,24
2018-09-16,29,5,26
2018-09-23,32,4,28
2018-09-30,32,4,25
2018-10-07,31,4,26
2018-10-14,32,5,19
2018-10-21,29,3,24
2018-10-28,30,4,22
2018-11-04,29,4,24
2018-11-11,30,4,20
2018-11-18,24,3,18
2018-11-25,50,5,22
2018-12-02,41,4,26
2018-12-09,30,3,21
2018-12-16,28,2,20
2018-12-23,19,4,18
2018-12-30,23,4,19
2019-01-06,29,4,24
2019-01-13,33,6,25
2019-01-20,34,4,24
2019-01-27,30,2,24
2019-02-03,31,3,25
2019-02-10,33,3,26
2019-02-17,32,5,26
2019-02-24,34,4,26
2019-03-03,33,4,29
2019-03-10,33,4,26
2019-03-17,33,3,25
2019-03-24,34,5,26
2019-03-31,36,4,26
2019-04-07,30,10,25
2019-04-14,31,8,22
2019-04-21,32,5,25
2019-04-28,35,5,27
2019-05-05,38,5,31
2019-05-12,74,10,55
2019-05-19,74,13,52
2019-05-26,77,4,47
2019-06-02,68,12,55
2019-06-09,85,7,64
2019-06-16,86,10,59
2019-06-23,85,11,55
2019-06-30,71,8,43
2019-07-07,79,7,54
2019-07-14,88,8,52
2019-07-21,85,12,55
2019-07-28,67,10,59
2019-08-04,62,6,47
2019-08-11,40,2,40
2019-08-18,52,0,35
2019-08-25,38,0,32
2019-09-01,44,8,33
2019-09-08,40,10,39
2019-09-15,49,3,45
2019-09-22,55,2,39
2019-09-29,59,4,41
2019-10-06,47,2,41
2019-10-13,50,5,44
2019-10-20,58,0,49
2019-10-27,56,0,33
2019-11-03,70,7,53
2019-11-10,54,6,44
2019-11-17,48,3,39
2019-11-24,51,0,29
2019-12-01,80,0,36
2019-12-08,67,8,43
2019-12-15,56,5,40
2019-12-22,41,0,33
2019-12-29,45,6,22
2020-01-05,67,4,40
2020-01-12,54,4,48
2020-01-19,47,9,45
2020-01-26,56,5,58
2020-02-02,57,3,49
2020-02-09,60,4,49
2020-02-16,77,3,47
2020-02-23,71,0,56
2020-03-01,70,5,61
2020-03-08,40,10,45
2020-03-15,43,7,32
2020-03-22,51,4,34
2020-03-29,49,14,30
2020-04-05,48,0,30
2020-04-12,54,4,54
2020-04-19,54,0,49
2020-04-26,55,9,45
2020-05-03,38,0,40
2020-05-10,32,3,26
2020-05-17,35,0,30
2020-05-24,27,2,30
2020-05-31,27,3,31
